Name,ID de sous-réseau,VPC_ID,CIDR IPv4,Adresses IPv4 disponibles,Zone de disponibilité,ID de zone de disponibilité,Table de routage,ACL réseau,Sous-réseau par défaut,Attribuer automatiquement une adresse IPv4 publique,Attribuer automatiquement un adresse IPv4 détenue par le client
VPC_PROD_CIBLE_SubnetPriINFRAA,subnet-3909ae60,vpc-db0ba2be,10.66.64.0/21,2034,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_SERVICES_TECHNIQUES_SubnetIPri_InfraB,subnet-0245530a4fc62c02a,vpc-07dbe76a0049b6630,10.64.246.128/25,106,eu-west-1b,euw1-az1,rtb-058a88b5f2609b4ce | RTB_VPC_SERVICES_TECHNIQUES,acl-065f63813dec9fc12,Non,Non,Non
VPC_VERI_SubnetPriPROD2B,subnet-90ac96f5,vpc-0f94c76a,10.72.26.0/24,250,eu-west-1b,euw1-az1,rtb-0f7e426a | PrivateRouteTableB_VERI,acl-ce7542ab,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriPROD1A,subnet-0209ae5b,vpc-db0ba2be,10.66.0.0/23,470,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriPROD2A,subnet-0409ae5d,vpc-db0ba2be,10.66.2.0/23,493,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_EOL_SubnetPub_InfraB,subnet-001b58dc6ca1d6f4a,vpc-01b88edc87fee897f,10.64.33.128/25,122,eu-west-1b,euw1-az1,rtb-0be1ce2cb87bb0c19 | RTB_VPC_EOL_PUB,acl-064a774bba04f80d5,Non,Non,Non
Private-subnet-1a,subnet-00ff8e9744741f1ba,vpc-fd33ff98,172.31.64.0/20,4089,eu-west-1a,euw1-az3,rtb-035316cad742cbd8c | private-rt,acl-9072a5f5,Non,Non,Non
VPC_VERI_SubnetPubINFRAA,subnet-2085ff79,vpc-0f94c76a,10.72.20.128/25,122,eu-west-1a,euw1-az3,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
–,subnet-7b49b022,vpc-fd33ff98,172.31.0.0/20,4090,eu-west-1a,euw1-az3,rtb-1f06d77a | DefaultRouteTable_default,acl-9072a5f5,Oui,Oui,Non
SB_VPC_VESA-PROD-PF_PUB_B,subnet-083bb243988fde6b8,vpc-00344fe8bc5e453f6,10.72.114.64/26,59,eu-west-1b,euw1-az1,rtb-0eafdfd338866ef54 | RTB_VESA-PROD-PF_PUB,acl-0c98fa206a13ae0aa,Non,Oui,Non
VPC_SERVICES_TECHNIQUES_SubnetIPri_InfraA,subnet-0cfd14ada98e492fe,vpc-07dbe76a0049b6630,10.64.246.0/25,106,eu-west-1a,euw1-az3,rtb-058a88b5f2609b4ce | RTB_VPC_SERVICES_TECHNIQUES,acl-065f63813dec9fc12,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriPROD3A,subnet-3a09ae63,vpc-db0ba2be,10.66.4.0/23,507,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_VERI_SubnetPubDMZ2B,subnet-93ac96f6,vpc-0f94c76a,10.72.31.0/24,251,eu-west-1b,euw1-az1,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
SB_VPC_STREAMING_PRI_PROD_B,subnet-cef749a8,vpc-9681faf0,10.64.4.0/22,926,eu-west-1b,euw1-az1,rtb-09ea8f70 | RTB_VPC_STREAMING_PRI_B,acl-cf986bb6,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriRELAYA,subnet-871369de,vpc-db0ba2be,10.66.73.0/24,251,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_VERI_SubnetPubDMZ1B,subnet-9dac96f8,vpc-0f94c76a,10.72.29.0/24,251,eu-west-1b,euw1-az1,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
VPC_SERVICES_TECHNIQUES_SubnetIPublic_B,subnet-03ae2cb903b6c175f,vpc-07dbe76a0049b6630,10.64.247.192/26,58,eu-west-1b,euw1-az1,rtb-00fb25e5e524ddfd7 | RTB_VPC_SERVICES_TECHNIQUES_Public,acl-065f63813dec9fc12,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriRELAYEXPA,subnet-a7bdf8fe,vpc-db0ba2be,10.66.72.0/28,11,eu-west-1a,euw1-az3,rtb-8318a0e6 | PrivateRouteTableA,acl-1a259a7f,Non,Non,Non
SB_VPC_STREAMING_PUB_PROD_B,subnet-13f44a75,vpc-9681faf0,10.64.15.224/27,26,eu-west-1b,euw1-az1,rtb-96f590ef | RTB_VPC_STREAMING_PUB,acl-cf986bb6,Non,Non,Non
SB_VPC_VESA_INDUS_EXT_B,subnet-0222cec96f05b71a5,vpc-0c4bccf053441edf6,10.72.36.160/27,27,eu-west-1b,euw1-az1,rtb-06f3a98f14ae373f6 | RTB_VESA_INDUS_INT_B,acl-0420f2a4966d37e1f,Non,Non,Non
VPC_EOL_SubnetPri_ProdB,subnet-098c8fb4208cafff3,vpc-01b88edc87fee897f,10.64.244.128/25,123,eu-west-1b,euw1-az1,rtb-07ab5cbce7b12ba8b | RTB_VPC_EOL_PRI,acl-064a774bba04f80d5,Non,Non,Non
VPC_PROD_CIBLE_SubnetPubDMZ1A,subnet-0609ae5f,vpc-db0ba2be,10.66.96.0/23,505,eu-west-1a,euw1-az3,rtb-8218a0e7 | PublicRouteTableA,acl-1a259a7f,Non,Non,Non
SB_VPC_VESA_INDUS_PUB_A,subnet-0f6ade1455c0bf7e7,vpc-0c4bccf053441edf6,10.72.36.0/27,27,eu-west-1a,euw1-az3,rtb-0e82296ddd0cfdaa1 | RTB_VESA_INDUS_PUB,acl-0420f2a4966d37e1f,Non,Oui,Non
VPC_VERI_SubnetPubINFRAB,subnet-91ac96f4,vpc-0f94c76a,10.72.28.128/25,123,eu-west-1b,euw1-az1,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
VPC_PROD_CIBLE_SubnetPubDMZ2A,subnet-3b09ae62,vpc-db0ba2be,10.66.98.0/23,503,eu-west-1a,euw1-az3,rtb-8218a0e7 | PublicRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_VERI_SubnetPriINFRAA,subnet-2685ff7f,vpc-0f94c76a,10.72.19.0/24,250,eu-west-1a,euw1-az3,rtb-0d7e4268 | PrivateRouteTableA_VERI,acl-ce7542ab,Non,Non,Non
VPC_PROD_CIBLE_SubnetPubDMZ3A,subnet-0709ae5e,vpc-db0ba2be,10.66.100.0/23,507,eu-west-1a,euw1-az3,rtb-8218a0e7 | PublicRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_VERI_SubnetPubHPDMZ1A,subnet-2e85ff77,vpc-0f94c76a,10.72.22.0/24,251,eu-west-1a,euw1-az3,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
VPC_VERI_SubnetPriRELAYEXPA,subnet-fedc99a7,vpc-0f94c76a,10.72.20.64/28,11,eu-west-1a,euw1-az3,rtb-0d7e4268 | PrivateRouteTableA_VERI,acl-ce7542ab,Non,Non,Non
VPC_PROD_CIBLE_SubnetPubINFRAA,subnet-3809ae61,vpc-db0ba2be,10.66.127.0/24,251,eu-west-1a,euw1-az3,rtb-8218a0e7 | PublicRouteTableA,acl-1a259a7f,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriINFRAB,subnet-d580e5b0,vpc-db0ba2be,10.66.192.0/21,2039,eu-west-1b,euw1-az1,rtb-8018a0e5 | PrivateRouteTableB,acl-1a259a7f,Non,Non,Non
–,subnet-cd9430ba,vpc-fd33ff98,172.31.32.0/20,4091,eu-west-1c,euw1-az2,rtb-1f06d77a | DefaultRouteTable_default,acl-9072a5f5,Oui,Oui,Non
VPC_VERI_SubnetPriPROD1B,subnet-94ac96f1,vpc-0f94c76a,10.72.24.0/24,250,eu-west-1b,euw1-az1,rtb-0f7e426a | PrivateRouteTableB_VERI,acl-ce7542ab,Non,Non,Non
VPC_VERI_SubnetPubHPDMZ1B,subnet-97ac96f2,vpc-0f94c76a,10.72.30.0/24,251,eu-west-1b,euw1-az1,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
SB_VPC_VESA-PROD-PF_PUB_A,subnet-012408d9a1bbc94fa,vpc-00344fe8bc5e453f6,10.72.114.0/26,57,eu-west-1a,euw1-az3,rtb-0eafdfd338866ef54 | RTB_VESA-PROD-PF_PUB,acl-0c98fa206a13ae0aa,Non,Oui,Non
VPC_PROD_CIBLE_SubnetPriPROD1B,subnet-cb80e5ae,vpc-db0ba2be,10.66.128.0/23,497,eu-west-1b,euw1-az1,rtb-8018a0e5 | PrivateRouteTableB,acl-1a259a7f,Non,Non,Non
SB_VPC_VESA-PROD-PF_EXT_B,subnet-03da88b17a91a0abb,vpc-00344fe8bc5e453f6,10.72.115.64/26,58,eu-west-1b,euw1-az1,rtb-0817aa3206ee80a18 | RTB_VESA-PROD-PF_INT_B,acl-0c98fa206a13ae0aa,Non,Non,Non
SB_VPC_VESA-PROD-PF_INT_B,subnet-0561d445c3048e8d1,vpc-00344fe8bc5e453f6,10.72.114.192/26,59,eu-west-1b,euw1-az1,rtb-0817aa3206ee80a18 | RTB_VESA-PROD-PF_INT_B,acl-0c98fa206a13ae0aa,Non,Non,Non
VPC_VERI_SubnetPriRELAYA,subnet-2385ff7a,vpc-0f94c76a,10.72.20.0/26,59,eu-west-1a,euw1-az3,rtb-0d7e4268 | PrivateRouteTableA_VERI,acl-ce7542ab,Non,Non,Non
SB_VPC_STREAMING_PRI_PROD_C,subnet-9566e9dd,vpc-9681faf0,10.64.8.0/22,923,eu-west-1c,euw1-az2,rtb-bde98cc4 | RTB_VPC_STREAMING_PRI_C,acl-cf986bb6,Non,Non,Non
VPC_VERI_SubnetPubDMZ2A,subnet-2785ff7e,vpc-0f94c76a,10.72.23.0/24,251,eu-west-1a,euw1-az3,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriPROD2B,subnet-d780e5b2,vpc-db0ba2be,10.66.130.0/23,495,eu-west-1b,euw1-az1,rtb-8018a0e5 | PrivateRouteTableB,acl-1a259a7f,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriPROD3B,subnet-d380e5b6,vpc-db0ba2be,10.66.132.0/23,507,eu-west-1b,euw1-az1,rtb-8018a0e5 | PrivateRouteTableB,acl-1a259a7f,Non,Non,Non
VPC_EOL_SubnetPri_InfraB,subnet-07c67bf5bcf4e599e,vpc-01b88edc87fee897f,10.64.245.128/25,122,eu-west-1a,euw1-az3,rtb-07ab5cbce7b12ba8b | RTB_VPC_EOL_PRI,acl-064a774bba04f80d5,Non,Non,Non
VPC_VERI_SubnetPriPROD1A,subnet-2f85ff76,vpc-0f94c76a,10.72.16.0/24,234,eu-west-1a,euw1-az3,rtb-0d7e4268 | PrivateRouteTableA_VERI,acl-ce7542ab,Non,Non,Non
SB_VPC_STREAMING_PRI_PROD_A,subnet-f032cbaa,vpc-9681faf0,10.64.0.0/22,943,eu-west-1a,euw1-az3,rtb-c5f491bc | RTB_VPC_STREAMING_PRI_A,acl-cf986bb6,Non,Non,Non
VPC_EOL_SubnetPri_InfraA,subnet-005fde4becb90971d,vpc-01b88edc87fee897f,10.64.245.0/25,122,eu-west-1c,euw1-az2,rtb-07ab5cbce7b12ba8b | RTB_VPC_EOL_PRI,acl-064a774bba04f80d5,Non,Non,Non
VPC_SERVICES_TECHNIQUES_SubnetIPri_ProdA,subnet-0fe2d66a7288724ac,vpc-07dbe76a0049b6630,10.64.247.0/25,119,eu-west-1c,euw1-az2,rtb-058a88b5f2609b4ce | RTB_VPC_SERVICES_TECHNIQUES,acl-065f63813dec9fc12,Non,Non,Non
SB_VPC_VESA_INDUS_EXT_A,subnet-0eb956599b6e889ac,vpc-0c4bccf053441edf6,10.72.36.128/27,27,eu-west-1a,euw1-az3,rtb-05aeed59de9a0bf2e | RTB_VESA_INDUS_INT_A,acl-0420f2a4966d37e1f,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriRELAYB,subnet-d2447eb7,vpc-db0ba2be,10.66.201.0/24,251,eu-west-1b,euw1-az1,rtb-8018a0e5 | PrivateRouteTableB,acl-1a259a7f,Non,Non,Non
VPC_VERI_SubnetPriRELAYEXPB,subnet-ffdc99a6,vpc-0f94c76a,10.72.28.64/28,11,eu-west-1a,euw1-az3,rtb-0f7e426a | PrivateRouteTableB_VERI,acl-ce7542ab,Non,Non,Non
SB_VPC_VESA_INDUS_PUB_B,subnet-0f8e9a92944e946e0,vpc-0c4bccf053441edf6,10.72.36.32/27,26,eu-west-1b,euw1-az1,rtb-0e82296ddd0cfdaa1 | RTB_VESA_INDUS_PUB,acl-0420f2a4966d37e1f,Non,Oui,Non
VPC_EOL_SubnetPub_InfraA,subnet-007aab9f1255c488b,vpc-01b88edc87fee897f,10.64.33.0/25,123,eu-west-1a,euw1-az3,rtb-0be1ce2cb87bb0c19 | RTB_VPC_EOL_PUB,acl-064a774bba04f80d5,Non,Non,Non
SB_VPC_VESA_INDUS_INT_A,subnet-0972d8582f8ae7635,vpc-0c4bccf053441edf6,10.72.36.64/27,22,eu-west-1a,euw1-az3,rtb-05aeed59de9a0bf2e | RTB_VESA_INDUS_INT_A,acl-0420f2a4966d37e1f,Non,Non,Non
VPC_VERI_SubnetPriINFRAB,subnet-96ac96f3,vpc-0f94c76a,10.72.27.0/24,250,eu-west-1b,euw1-az1,rtb-0f7e426a | PrivateRouteTableB_VERI,acl-ce7542ab,Non,Non,Non
SB_VPC_VESA-PROD-PF_INT_A,subnet-08059f757b130fa90,vpc-00344fe8bc5e453f6,10.72.114.128/26,56,eu-west-1a,euw1-az3,rtb-007c040ce09e2e4a1 | RTB_VESA-PROD-PF_INT_A,acl-0c98fa206a13ae0aa,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriRELAYEXPB,subnet-f894919d,vpc-db0ba2be,10.66.200.0/28,11,eu-west-1b,euw1-az1,rtb-8018a0e5 | PrivateRouteTableB,acl-1a259a7f,Non,Non,Non
VPC_PROD_CIBLE_SubnetPubDMZ1B,subnet-d680e5b3,vpc-db0ba2be,10.66.224.0/23,507,eu-west-1b,euw1-az1,rtb-b918a0dc | PublicRouteTableB,acl-1a259a7f,Non,Non,Non
SB_VPC_VESA-PROD-PF_EXT_A,subnet-03a07acf36e0bc0dd,vpc-00344fe8bc5e453f6,10.72.115.0/26,59,eu-west-1a,euw1-az3,rtb-007c040ce09e2e4a1 | RTB_VESA-PROD-PF_INT_A,acl-0c98fa206a13ae0aa,Non,Non,Non
SB_VPC_VESA-ACCESS-WAF-PROD-IRELAND_PUB_A,subnet-0d2c17d123e625dbd,vpc-0ab43a9252c40819c,10.65.150.0/24,251,eu-west-1a,euw1-az3,rtb-0a81a16e549552ed5 | RTB_VESA-ACCESS-WAF-PROD-IRELAND_PUB,acl-0e8c74918d8660835,Non,Oui,Non
VPC_VERI_SubnetPriPROD2A,subnet-2285ff7b,vpc-0f94c76a,10.72.18.0/24,251,eu-west-1a,euw1-az3,rtb-0d7e4268 | PrivateRouteTableA_VERI,acl-ce7542ab,Non,Non,Non
VPC_PROD_CIBLE_SubnetPubDMZ2B,subnet-ca80e5af,vpc-db0ba2be,10.66.226.0/23,507,eu-west-1b,euw1-az1,rtb-b918a0dc | PublicRouteTableB,acl-1a259a7f,Non,Non,Non
VPC_EOL_SubnetPri_ProdA,subnet-0e8204ff493dd9931,vpc-01b88edc87fee897f,10.64.244.0/25,120,eu-west-1a,euw1-az3,rtb-07ab5cbce7b12ba8b | RTB_VPC_EOL_PRI,acl-064a774bba04f80d5,Non,Non,Non
VPC_VERI_SubnetPriHPPROD1A,subnet-d985ff80,vpc-0f94c76a,10.72.17.0/24,246,eu-west-1a,euw1-az3,rtb-0d7e4268 | PrivateRouteTableA_VERI,acl-ce7542ab,Non,Non,Non
VPC_PROD_CIBLE_SubnetPubDMZ3B,subnet-d480e5b1,vpc-db0ba2be,10.66.228.0/23,507,eu-west-1b,euw1-az1,rtb-b918a0dc | PublicRouteTableB,acl-1a259a7f,Non,Non,Non
SB_VPC_VESA_INDUS_INT_B,subnet-0db7daaf298491f1b,vpc-0c4bccf053441edf6,10.72.36.96/27,26,eu-west-1b,euw1-az1,rtb-06f3a98f14ae373f6 | RTB_VESA_INDUS_INT_B,acl-0420f2a4966d37e1f,Non,Non,Non
VPC_PROD_CIBLE_SubnetPubINFRAB,subnet-d180e5b4,vpc-db0ba2be,10.66.255.0/24,251,eu-west-1b,euw1-az1,rtb-b918a0dc | PublicRouteTableB,acl-1a259a7f,Non,Non,Non
VPC_PROD_CIBLE_SubnetPriINFRAC,subnet-b4b596c3,vpc-db0ba2be,10.66.191.0/24,250,eu-west-1c,euw1-az2,rtb-b7310cd2 | PrivateRouteTableC,acl-1a259a7f,Non,Non,Non
VPC_SERVICES_TECHNIQUES_SubnetIPriI_ProdB,subnet-0e8fe02851dffa549,vpc-07dbe76a0049b6630,10.64.247.128/26,58,eu-west-1b,euw1-az1,rtb-058a88b5f2609b4ce | RTB_VPC_SERVICES_TECHNIQUES,acl-065f63813dec9fc12,Non,Non,Non
–,subnet-2e99264b,vpc-fd33ff98,172.31.16.0/20,4091,eu-west-1b,euw1-az1,rtb-1f06d77a | DefaultRouteTable_default,acl-9072a5f5,Oui,Oui,Non
VPC_VERI_SubnetPriHPPROD1B,subnet-9cac96f9,vpc-0f94c76a,10.72.25.0/24,250,eu-west-1b,euw1-az1,rtb-0f7e426a | PrivateRouteTableB_VERI,acl-ce7542ab,Non,Non,Non
VPC_VERI_SubnetPriRELAYB,subnet-92ac96f7,vpc-0f94c76a,10.72.28.0/26,59,eu-west-1b,euw1-az1,rtb-0f7e426a | PrivateRouteTableB_VERI,acl-ce7542ab,Non,Non,Non
SB_VPC_STREAMING_PUB_PROD_A,subnet-7331c829,vpc-9681faf0,10.64.15.192/27,23,eu-west-1a,euw1-az3,rtb-96f590ef | RTB_VPC_STREAMING_PUB,acl-cf986bb6,Non,Non,Non
VPC_VERI_SubnetPubDMZ1A,subnet-2585ff7c,vpc-0f94c76a,10.72.21.0/24,251,eu-west-1a,euw1-az3,rtb-0c7e4269 | PublicRouteTable_VERI,acl-ce7542ab,Non,Non,Non
–,subnet-08cffd42,vpc-6b42bd02,172.31.32.0/20,4091,eu-west-3c,euw3-az3,rtb-12aa6c7b,acl-d02ce9b9,Oui,Oui,Non
SB_VPC_VESA_NETBACKUP_PUB_A,subnet-0367b54592611baf5,vpc-05d465008f28183b8,10.73.8.0/28,10,eu-west-3a,euw3-az1,rtb-0d71ae029d1968b1d | RTB_VPC_PARIS_NETBACKUP_PUB,acl-0317f258fc1ca7ec0,Non,Non,Non
SB_VPC_VESA_NETBACKUP_PUB_B,subnet-042cf2755b8f752d9,vpc-05d465008f28183b8,10.73.8.16/28,10,eu-west-3b,euw3-az2,rtb-0d71ae029d1968b1d | RTB_VPC_PARIS_NETBACKUP_PUB,acl-0317f258fc1ca7ec0,Non,Non,Non
–,subnet-81657af9,vpc-6b42bd02,172.31.16.0/20,4091,eu-west-3b,euw3-az2,rtb-12aa6c7b,acl-d02ce9b9,Oui,Oui,Non
–,subnet-a4d52ecd,vpc-6b42bd02,172.31.0.0/20,4091,eu-west-3a,euw3-az1,rtb-12aa6c7b,acl-d02ce9b9,Oui,Oui,Non
SB_VPC_VESA_NETBACKUP_INT_A,subnet-0bfb04427779f4faa,vpc-05d465008f28183b8,10.73.8.32/28,7,eu-west-3a,euw3-az1,rtb-0885889164c27b4da | RTB_VPC_PARIS_NETBACKUP_INT,acl-0317f258fc1ca7ec0,Non,Non,Non
SB_VPC_VESA_NETBACKUP_INT_B,subnet-0adc7ebaa6b3b139b,vpc-05d465008f28183b8,10.73.8.48/28,11,eu-west-3b,euw3-az2,rtb-0885889164c27b4da | RTB_VPC_PARIS_NETBACKUP_INT,acl-0317f258fc1ca7ec0,Non,Non,Non