Souscription,Region,VPC,VPC_ID,CIDR,ID_Tables_de-Routage,ID_ACL
VESA PROD,eu-west-1,VPC_VESA-PROD-PF,vpc-00344fe8bc5e453f6,10.72.114.0/23,rtb-0c334af6bbfcc2e01,acl-0c98fa206a13ae0aa
VESA PROD,eu-west-1,VPC_EOL,vpc-01b88edc87fee897f,10.64.244.0/23,rtb-07ab5cbce7b12ba8b,acl-064a774bba04f80d5
VESA PROD,eu-west-1,VPC_EOL,vpc-01b88edc87fee897f,10.64.33.0/24,rtb-07ab5cbce7b12ba8b,acl-064a774bba04f80d5
VESA PROD,eu-west-3,VPC_VESA_PARIS_NETBACKUP,vpc-05d465008f28183b8,10.73.8.0/26,rtb-0d6910c4886c50510,acl-0317f258fc1ca7ec0
VESA PROD,eu-west-1,VPC_SERVICES_TECHNIQUES,vpc-07dbe76a0049b6630,10.64.246.0/23,rtb-058a88b5f2609b4ce,acl-065f63813dec9fc12
VESA PROD,eu-west-1,VPC_VESA-ACCESS-WAF-PROD-IRELAND,vpc-0ab43a9252c40819c,10.65.150.0/23,rtb-0f8a46bdfa08b1ff2,acl-0e8c74918d8660835
VESA PROD,eu-west-1,VPC_VESA_INDUS,vpc-0c4bccf053441edf6,10.72.36.0/24,rtb-0d2389af502a36861,acl-0420f2a4966d37e1f
VESA PROD,eu-west-1,VPC_VERI,vpc-0f94c76a,10.72.16.0/20,rtb-397e425c,acl-ce7542ab
VESA PROD,eu-west-3,Default,vpc-6b42bd02,172.31.0.0/16,rtb-12aa6c7b,acl-d02ce9b9
VESA PROD,eu-west-1,VPC_STREAMING,vpc-9681faf0,10.64.0.0/20,rtb-5ff59026,acl-cf986bb6
VESA PROD,eu-west-1,VPC_PROD,vpc-db0ba2be,10.66.0.0/16,rtb-b918a0dc,acl-1a259a7f
VESA PROD,eu-west-1,Default,vpc-fd33ff98,172.31.0.0/16,rtb-1f06d77a,acl-9072a5f5